Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50,Anomaly_Label,Anomaly_Score,Anomaly_Status
-0.26487,2.04048,1.40283,-2.87433,1.67751,6.80814,1.26549,2.00124,-0.80442,0.28449,0.72594,-0.76518,1,0.12085344086913274,Normal
-0.36297,2.28573,1.53036,-2.943,1.18701,6.95529,0.92214,2.42307,-2.21706,-0.4905,-0.1962,-1.3734,1,0.11342091302978319,Normal
0.24525,2.04048,1.38321,-3.08034,0.981,5.67999,0.97119,2.57022,-1.01043,-0.96138,-1.28511,-0.4905,1,0.12802131063899225,Normal
0.51993,2.58984,1.28511,-2.63889,1.03986,4.92462,1.34397,2.4525,-1.84428,-1.74618,0.60822,0.8829,1,0.1333410086813936,Normal
0.7848,2.36421,1.73637,-2.69775,0.62784,6.41574,1.09872,1.77561,-2.14839,-0.64746,1.99143,-0.46107,1,0.11867230021945807,Normal
0.66708,2.44269,2.07972,-1.81485,1.25568,6.17049,1.18701,1.53036,-2.34459,-0.35316,0.92214,0.07848,1,0.12043328142884502,Normal
0.27468,1.87371,2.00124,-1.23606,1.65789,5.16006,0.72594,2.14839,-1.16739,-0.28449,1.14777,0.23544,1,0.1394911885079173,Normal
0.79461,2.90376,1.39302,-1.08891,1.3734,5.4936,1.05948,1.7658,-1.08891,-0.33354,3.16863,-0.28449,1,0.13136019274113675,Normal
1.52055,3.19806,1.06929,-0.47088,0.86328,4.49298,0.60822,0.57879,-1.58922,0.03924,2.24649,-0.37278,1,0.14486686043096303,Normal
0.90252,2.46231,1.41264,1.34397,1.29492,1.81485,0.44145,-0.55917,-1.5696,0.51993,2.0601,0.40221,1,0.15872886555159477,Normal
1.40283,0.92214,0.61803,0.44145,1.42245,2.66832,0.83385,-0.981,-1.16739,-0.13734,0.53955,-2.03067,1,0.16966127972902745,Normal
1.24587,-0.73575,0.4905,1.26549,1.08891,3.24711,0.55917,-1.8639,-0.47088,0.08829,2.52117,-0.73575,1,0.16377879666342787,Normal
1.35378,-1.05948,0.10791,2.1582,-0.32373,1.74618,0.44145,-2.98224,-0.45126,0.60822,3.58065,-0.38259,1,0.15070588339718227,Normal
0.3924,-2.14839,-0.35316,4.29678,0.56898,1.40283,0.5886,-3.55122,-0.80442,0.07848,2.07972,-0.99081,1,0.13780604598037316,Normal
0.21582,-2.98224,-1.2753,3.05091,1.00062,-0.64746,-0.07848,-3.67875,-1.00062,0.47088,2.72718,-0.52974,1,0.14098218991524142,Normal
0.61803,-1.962,-1.2753,2.43288,0.04905,-1.62846,-0.11772,-3.48255,-0.02943,0.72594,3.05091,-0.11772,1,0.14196513327593135,Normal
0.25506,-0.64746,-1.53036,2.43288,0.62784,-1.60884,-0.02943,-4.1202,0.18639,0.48069,2.83509,-1.34397,1,0.14564052455784904,Normal
-0.56898,-1.26549,-1.90314,3.09996,0.67689,-2.59965,0.34335,-4.10058,0.32373,0.18639,1.15758,-0.2943,1,0.1498110853878326,Normal
-1.02024,-0.81423,-2.3544,1.52055,0.54936,-1.94238,0.92214,-3.76704,-0.06867,0.30411,0.02943,-1.8639,1,0.15616947502239342,Normal
-1.55979,-0.70632,-2.7468,1.20663,0.48069,-2.2563,0.10791,-3.93381,0.7848,-0.25506,0.47088,-1.45188,1,0.15218186180801346,Normal
