Signal,Window_Start,Window_Size,RMS,STD,Peak_to_Peak,Crest_Factor
Crack2_50,1300,100,5.592554695469057,3.0350998717893467,11.27169,2.426748532882234
Crack2_50,1400,100,8.505927821619931,2.402560576947986,8.85843,1.6807732999903817
Crack2_50,1500,100,3.285482505802763,2.012582685448168,9.09387,2.6457529660091708
Crack2_50,1600,100,4.114004765202879,1.6594139825250482,6.50403,1.9283890133944859
Crack2_50,1700,100,5.174948415577686,2.1767610491135585,9.38817,2.099962388733336
Crack2_50,1800,100,2.7753006675996383,2.6271049205779717,10.67328,3.0966340933767644
Crack2_50,1900,100,2.851861656323812,2.3413397669752163,11.2815,3.2334318277754326
Crack2_50,2000,100,1.885889515014334,1.8536947835684574,7.848000000000001,2.706065318818041
Crack2_50,2100,100,2.905004377117357,2.3896144728002024,10.0062,2.841030460973213
Crack2_50,2200,100,3.2863961213181527,2.4295807702932186,9.68247,2.2378625849875293
Crack2_50,2300,100,2.8218161046946344,1.7119881919022804,7.67142,2.385669473336635
Crack2_50,2400,100,1.9861109990823775,1.4191401928426381,5.9350499999999995,2.854881908935963
Crack2_50,2500,100,2.334199159262551,2.314252363830756,9.20178,2.3275350859853723
Crack2_50,2600,100,3.764269060961902,1.7078797958125593,7.68123,1.9676228674397649
Crack2_50,2700,100,3.579503659102893,2.076247440398015,8.15211,2.3368847973734193
Crack2_50,2800,100,2.107008279347046,1.9937504069307448,8.30907,2.796190051801927
Crack2_50,2900,100,3.0367461483606104,1.6817775867595424,8.16192,2.9615458197819016
Crack2_50,3000,100,1.6823111766798673,1.4503218263754427,6.425549999999999,2.2811671087533156
Crack2_50,3100,100,1.684506404755411,1.5163788770075768,6.58251,2.7468607305936072
Crack2_50,3200,100,2.1992271895293127,2.15183386230466,8.19135,2.5362905401759215
Crack2_50,3300,100,1.6388634856146502,1.6388486848586692,6.23916,2.4430316451175087
Crack2_50,3400,100,1.6664588616884608,1.089277874723911,5.3955,2.7654072690705367
Crack2_50,3500,100,1.9545914799489432,1.3700056762175075,6.78852,2.2691012231873784
Crack3_30,0,100,1.6181252285700882,1.4726645584289553,6.35688,2.521906390254328
Crack3_30,100,100,2.1110727961043882,1.2077488580938507,5.41512,2.3997405685871804
Crack3_30,200,100,1.4047334265023381,1.3701238232760535,6.09201,2.583599051590222
Crack3_30,300,100,1.45397272792821,1.2487965047575167,5.71923,2.7261563651248464
Crack3_30,400,100,1.3655791322735567,1.2170732565843807,6.22935,3.529304196763281
Crack3_30,500,100,1.105106405747881,1.0664615686889567,5.1012,3.2106409815388144
Crack3_30,600,100,1.4962125039873178,1.173169545187242,5.90562,3.3205725699067914
Crack3_30,700,100,2.038935519562352,1.5836725698699812,6.78852,2.6426634354624667
Crack3_30,800,100,2.2454129979478163,2.1452210912132554,8.40717,2.2164607798281737
Crack3_30,900,100,2.421217107954799,2.207043106123528,8.946720000000001,3.2618202397489324
Crack3_30,1000,100,1.9072557496193319,1.5897014527388342,7.3182599999999995,3.0563273553927757
Crack3_30,1100,100,1.1049731605604727,0.9592385294256013,4.56165,2.8377085768944634
Crack3_30,1200,100,1.3642077489191298,1.3384220534811095,4.96386,2.167309744684345
Crack3_30,1300,100,1.5791714344671386,1.5707220193124276,6.29802,2.5379593633096165
Crack3_30,1400,100,1.8193747236089108,1.6638398881336238,6.2783999999999995,2.291549909707952
Crack3_30,1500,100,1.3777096383200635,1.18798839155783,4.905,2.5872442839951866
Crack3_30,1600,100,1.3177108820044707,1.034113950561905,4.86576,3.0816640986132517
Crack3_30,1700,100,2.6164516910669304,1.9496479270896347,7.66161,2.564796033355871
Crack3_30,1800,100,1.5592651692508879,0.7221941241625482,3.81609,2.289486621251492
Crack3_30,1900,100,1.3434138655928038,0.6488750993177269,2.9429999999999996,2.3926227465315275
Crack3_30,2000,100,1.291309419781719,1.0951188868614905,4.13982,2.671721274483257
