Crack1_30,Crack1_50,Crack2_30,Crack2_50,Crack3_30,Crack3_50,Crack4_30,Crack4_50,Crack5_30,Crack5_50,Crack6_30,Crack6_50
-1.04967,-0.38259,-0.96138,-1.30473,2.39364,0.44145,2.61927,2.61927,0.75537,-0.04905,-1.2753,-1.7658
-1.04967,-0.81423,-1.46169,-2.13858,2.21706,-0.17658,2.43288,1.99143,2.4525,-0.23544,-1.64808,-0.80442
-1.05948,-1.36359,-1.14777,-3.18825,0.27468,-0.14715,2.6487,1.16739,1.45188,-0.48069,-1.68732,-0.8829
-0.76518,-0.24525,-1.26549,-4.43412,1.67751,0.51012,2.943,1.64808,0.5886,-1.23606,-2.71737,0.48069
-0.50031,-0.54936,-0.53955,-3.81609,1.91295,-2.06991,3.06072,0.81423,0.46107,-2.66832,-0.87309,2.30535
-0.38259,-0.2943,0.22563,-4.19868,3.32559,0.45126,2.52117,0.42183,0.48069,-1.58922,-3.32559,1.03986
-0.14715,0.74556,0.6867,-4.47336,1.62846,2.52117,2.63889,0.31392,0.0981,-2.00124,-3.69837,-0.31392
0.31392,1.11834,0.67689,-3.93381,1.77561,1.67751,2.05029,0.40221,-2.23668,-1.7658,-2.31516,-0.20601
-0.32373,0.51993,0.28449,-2.79585,3.37464,-1.13796,2.13858,0.13734,-1.78542,-1.51074,-2.5506,0.11772
-0.11772,-0.2943,0.47088,-1.97181,2.16801,-0.85347,1.35378,0.42183,-1.99143,-1.00062,-3.17844,-0.31392
0.25506,-0.18639,0.75537,-2.02086,-0.22563,-0.03924,1.45188,-0.25506,-2.58984,-1.45188,-3.6297,-1.09872
-0.46107,-0.86328,0.20601,-2.19744,1.21644,-1.25568,1.23606,-0.981,-2.37402,-0.80442,-2.40345,-0.55917
-0.60822,-0.57879,1.24587,-1.74618,1.30473,-0.23544,1.53036,-1.36359,-2.68794,-0.99081,-1.88352,-1.32435
-0.63765,-0.92214,1.35378,-1.78542,1.81485,0.4905,1.62846,-1.38321,-1.88352,-0.31392,-1.99143,-1.79523
-0.73575,-1.68732,1.15758,-2.30535,2.32497,0.36297,1.72656,-2.37402,-2.59965,0.59841,-1.7658,-2.95281
-0.8829,-1.99143,1.06929,-2.8449,1.55979,-1.00062,1.92276,-1.67751,-2.13858,2.03067,-0.91233,-2.97243
-0.90252,-1.35378,1.35378,-1.94238,2.90376,-1.97181,2.17782,-1.84428,-3.22749,3.44331,-2.52117,-3.18825
-1.53036,-2.17782,0.69651,-1.94238,2.26611,-2.50155,1.80504,-1.5696,-1.91295,3.68856,-1.01043,-2.88414
-1.33416,-1.88352,0.48069,-0.2943,1.54998,-0.54936,2.03067,-1.5696,-2.12877,4.62051,-0.69651,-1.6677
-1.26549,-2.38383,0.83385,-1.40283,2.88414,-2.39364,2.17782,-1.81485,-0.90252,4.04172,-0.84366,-1.94238
-1.33416,-1.91295,0.93195,-1.51074,1.75599,-3.60027,2.46231,-2.44269,-1.42245,4.72842,-0.30411,-3.08034
-1.39302,-1.34397,0.40221,-0.07848,0.06867,-3.71799,2.11896,-1.74618,0.65727,4.17906,0.43164,-3.79647
-0.43164,-1.77561,1.00062,0.16677,2.33478,-1.2753,2.07972,-2.26611,1.14777,4.27716,0.4905,-3.18825
-0.77499,-0.90252,1.50093,-0.99081,1.57941,-2.02086,2.08953,-1.54998,2.17782,3.26673,-0.64746,-4.07115
0.05886,-0.41202,1.13796,-0.02943,1.72656,-3.56103,1.80504,-0.84366,1.19682,3.45312,-0.4905,-4.52241
-0.47088,-0.02943,0.32373,1.01043,2.13858,-2.93319,1.21644,-0.2943,1.63827,2.97243,0.5886,-5.0031
0.22563,-0.05886,0.51012,1.75599,1.72656,-1.79523,1.16739,1.18701,2.2563,2.0601,-0.4905,-3.96324
0.02943,-0.05886,0.0,1.03986,1.88352,-0.23544,1.31454,0.52974,2.04048,0.3924,-0.07848,-3.54141
0.6867,0.23544,-0.06867,1.95219,0.85347,-0.85347,1.49112,1.44207,2.16801,0.13734,0.60822,-4.54203
0.28449,-0.2943,-0.46107,1.03986,1.43226,1.88352,1.40283,0.77499,3.18825,-1.39302,1.10853,-4.55184
0.55917,0.41202,0.24525,1.62846,2.98224,2.03067,1.53036,2.58984,2.99205,-2.50155,-0.23544,-5.27778
0.18639,0.85347,-0.46107,1.23606,0.85347,2.52117,1.22625,2.14839,3.74742,-2.69775,-1.32435,-6.16068
0.57879,0.28449,-1.00062,1.09872,1.06929,1.70694,1.42245,3.30597,3.42369,-2.65851,-0.55917,-4.78728
0.18639,0.46107,-2.39364,-0.55917,2.5506,4.26735,1.32435,3.71799,3.924,-2.98224,-0.25506,-4.20849
-0.47088,0.51012,-2.16801,0.35316,3.08034,2.08953,1.77561,3.69837,2.8449,-3.18825,-0.75537,-5.07177
-0.89271,-0.77499,-1.90314,-0.12753,1.21644,2.79585,1.88352,3.30597,2.81547,-4.04172,-1.05948,-4.67937
-0.47088,-0.2943,-2.50155,-0.61803,3.09015,2.80566,2.28573,3.69837,1.83447,-3.05091,-0.13734,-3.46293
-0.96138,0.5886,-2.32497,-1.09872,3.6297,1.55979,2.69775,4.07115,2.79585,-3.5316,-0.62784,-2.32497
-1.32435,0.27468,-1.60884,-0.37278,2.42307,1.05948,2.51136,3.96324,2.52117,-4.0221,-0.3924,-4.06134
-1.92276,-0.18639,-1.62846,-0.90252,1.72656,1.98162,2.03067,3.00186,3.49236,-4.01229,-1.11834,-4.36545
-1.6677,1.2753,-2.37402,-2.73699,2.0601,-0.44145,2.21706,3.0411,2.37402,-2.40345,-3.03129,-1.45188
-2.34459,1.58922,-1.99143,-3.0411,3.40407,-0.26487,2.02086,2.95281,1.55979,-2.62908,-1.83447,-1.90314
-2.92338,0.90252,-0.94176,-1.73637,1.36359,-1.11834,1.33416,2.02086,0.8829,-2.71737,-1.38321,-1.92276
-3.14901,0.05886,-0.57879,-2.50155,1.63827,-3.07053,1.16739,1.01043,0.40221,-1.93257,-1.21644,-2.1582
-3.25692,0.66708,-1.68732,-1.77561,2.87433,-3.1392,0.72594,-0.16677,-0.11772,-1.23606,-1.68732,-0.95157
-3.40407,0.72594,-0.87309,-2.08953,1.49112,-3.93381,0.73575,0.04905,-1.10853,-1.59903,-0.99081,-0.81423
-2.99205,0.63765,1.38321,-1.48131,1.09872,-3.64932,0.69651,-0.84366,-0.46107,-1.6677,-0.7848,-1.16739
-2.87433,0.0981,0.60822,-1.53036,1.68732,-3.55122,0.51993,-1.88352,0.1962,-1.25568,-1.52055,-1.82466
-2.943,1.5696,0.61803,-0.00981,0.45126,-2.63889,-0.00981,-2.09934,-1.04967,-0.56898,-2.12877,-1.87371
-2.59965,1.52055,1.19682,-0.35316,0.23544,-1.41264,0.04905,-2.7468,-1.71675,-0.4905,-2.1582,-2.68794
