RMS,Standard_Deviation,Peak_to_Peak
2.005443306378916,1.6337660903936035,4.35564
1.801593435087395,1.77732095743847,4.74804
2.2849965883453742,2.4504881247926913,7.279019999999999
3.0467144705157394,2.011422426490766,5.52303
2.200343126923617,1.398737674304943,3.4825500000000003
1.6943964980487891,1.8098284637279856,5.503410000000001
2.091601508390162,2.0512238495298365,6.0822
1.588033677586845,1.7011843046977597,4.3360199999999995
1.7308975203200216,1.8602141635494553,4.84614
2.075006320966276,2.2000785030061993,5.73885
2.223103433524855,2.194937170652044,5.83695
1.0571687985605704,1.157958205165454,2.99205
1.8289402619686626,2.003003259974881,5.6898
0.7826203795263704,0.8555178706900283,2.05029
1.1441449163458273,0.9445082400487568,2.56041
1.4726930663413882,1.352491528147219,3.32559
1.4569198674944344,1.409484559149195,3.3354
0.8699613606936805,0.8610699209936439,2.1582
2.1049289972229466,1.1211203464704402,3.28635
3.7438315541434286,2.3869862192061353,6.24897
1.6226433921074586,1.6856052304113205,4.46355
1.5862449468004618,1.7159005241184584,4.49298
1.5220576719034007,1.652473073547645,4.6107
1.9234105532101045,2.0234362607603926,4.43412
1.8986679932521116,1.7935513299150376,4.2183
1.5288028135276308,1.2677225307258682,3.68856
1.2933273728836021,1.1355797131465497,3.1686300000000003
3.080845038215976,2.8737752741159146,7.43598
1.4791103204291423,1.5914186642741126,4.9540500000000005
2.41128522860735,2.6085427636057648,6.11163
1.6944296291230274,1.7218799724806604,4.32621
1.0869344241029446,1.1836731528086628,3.11958
4.550299879535413,2.7959911227541476,7.534079999999999
2.775646422763533,2.756904400649395,6.8964300000000005
2.311162576507763,1.0856335978726894,2.79585
1.9352903189185855,2.06411351897128,5.366070000000001
1.19439855452441,1.3003302093660671,3.26673
0.8464406211601615,0.7129492444136538,1.9129500000000002
1.2045545565477722,1.2129963514537048,3.2863499999999997
4.968576963371907,2.5287108956284428,7.01415
2.420228597178374,2.604052751009472,7.5929400000000005
1.2367929374596218,1.284239785519044,3.39426
1.0877383561546408,1.1736207210977487,2.97243
1.6349280584172505,1.595742577773746,4.4733600000000004
2.098484124600422,2.2146684269027723,6.5727
1.9034728703740433,2.0738573570113257,5.69961
2.922886166343123,2.5267558936707752,7.141679999999999
0.5748553975131485,0.6275768120238351,1.65789
2.5575769383735065,1.1595680047845403,3.0018599999999998
1.9784891727906928,2.0719631925953705,5.05215
2.0732779945294357,2.240400116818422,6.40593
2.5258162440288485,2.76555714203124,8.15211
1.862333183563027,2.015583013125483,5.70942
2.1986002517283585,2.3881981090688438,6.592320000000001
1.3996535891605466,1.475358989924147,3.52179
2.1028019702411354,1.1726253739494128,3.15882
0.45067315101967187,0.48706427718526024,1.45188
1.3420292739541861,1.1886506224076105,3.06072
1.9252151035014244,1.8859547466654654,5.25816
0.8574355287425406,0.7343163432131958,2.05029
0.9299169403231667,0.9698315044171333,2.78604
5.241082206181277,3.2224881926098656,9.27045
1.7807154226040725,1.4443971630683854,3.63951
1.2427312233343137,1.0361406644418507,2.7369899999999996
1.2910931521195517,1.0336112580027368,2.9429999999999996
2.445793871363652,2.6409423728964625,7.08282
1.4630061859404422,1.4575824635470886,3.61989
0.8417852716993807,0.8722721169165045,2.1287700000000003
1.3724829259593725,1.4957521177354223,3.38445
1.6567092837006738,1.4382142534963278,3.6983699999999997
1.6507978928536347,1.4713354007941222,4.04172
1.1630333200514935,1.265752333274563,3.38445
1.8061193104692725,1.347215792258241,3.81609
1.6700546612311826,1.8074340428131812,4.32621
2.070491079575085,2.2503863459504014,6.46479
2.6605605007403983,2.451555442106093,6.99453
1.8966817482382226,1.6961335861069433,5.042339999999999
0.5794408628583247,0.625887738168755,1.58922
1.8461401789138332,1.955455625413167,5.06196
1.2706253941661956,1.3829479113401197,3.74742
1.3575837323900135,1.4175829043375205,3.5316
1.5073228073475171,1.5966439283415699,4.26735
1.5520947440636477,1.697166857981265,3.87495
2.584765910029378,1.832842146730045,4.37526
2.0165337307989666,2.1533914591151326,5.61132
1.7203991787373067,1.7918728774441564,4.532220000000001
2.206617709436775,2.0191226609693627,4.7088
1.5945148369488444,1.55426336942939,4.58127
1.6098017704518777,1.5051718002108596,4.11039
2.002545970933002,2.097878687665233,5.46417
1.4194813504939048,1.5078919908269293,3.61989
2.439128487944003,2.6693152408660916,7.563510000000001
1.4382443643032292,1.4130952287337186,3.45312
3.004685190148878,2.205794733596034,6.30783
2.1175326790040336,2.313907777874909,6.81795
1.4320304096806045,1.3511531579913507,3.47274
2.3941626068836674,2.622663947195675,7.52427
2.978101223481163,2.9825755863816763,8.132489999999999
1.4959419075284976,1.599890400421229,4.19868
1.5125066780513732,1.6517012448230461,4.08096
1.314057952660384,1.4065193339837174,3.19806
1.3493713541312486,1.4518590099834074,3.3354
1.5869525954640233,1.7183664875311087,4.60089
2.032702859286128,2.224840090233453,6.56289
1.6139363184463011,1.7184551588912644,4.50279
1.5744464241440546,1.715394750778957,4.71861
1.699915719499058,1.8410837622878542,4.77747
1.8962631036989566,2.0223016192917416,5.7290399999999995
2.570354166345564,2.591286942387894,7.48503
1.6099512168541008,1.423895958176018,3.54141
2.265600332296056,1.7510304991518566,4.68918
2.2971290333479306,2.498107719845163,5.94486
1.818372878097339,1.7756479388212068,4.64994
1.3369222141171864,1.4244399253460989,4.1202
1.7094845688978886,1.5131290331098666,3.60027
1.1624677530366165,1.1993168013289899,2.83509
1.3480810481569718,1.4740309833514353,4.03191
1.3228534321874061,1.2626718737779818,3.25692
2.259546338515765,2.4555117826962265,7.445790000000001
1.7010523027673192,1.723887121406155,4.43412
0.9145775541199336,0.9752870248906216,3.0411
1.831604325898473,1.667531682682521,5.18949
1.3373420508979743,1.3877966295678916,4.05153
2.0662532035183876,0.8599608864303073,2.26611
